SYMBOL,SYMBOL P/E,ADJUSTED P/E
MARKSANS,28.95,28.95
NEXTMEDIA,0.41,
GOLDTECH,49.57,
SMARTLINK,12.26,12.26
GODREJCP,60.98,56.81
JISLJALEQS,289.89,50.40
LUPIN,22.90,21.22
UNITDSPR,52.72,51.55
TCI,20.99,20.99
MPSLTD,18.13,19.11
BHARTIARTL,30.80,30.52
ASAL,38.49,36.45
OLECTRA,72.09,70.75
PONNIERODE,9.40,12.36
PNB,7.87,7.87
APTECHT,19.20,18.08
SURANAT&P,9.71,9.74
TEAMGTY,114.44,114.44
OFSS,26.89,26.89
UNIONBANK,7.81,7.81
NUCLEUS,14.24,12.97
CANBK,7.21,7.21
GENESYS,27.18,25.52
OMAXAUTO,12.26,11.18
GODREJIND,18.26,17.76
DIVISLAB,66.15,64.74
RADICO,75.66,73.86
INDORAMA,7.46,7.31
MARUTI,28.48,28.48
VARDHACRLC,21.76,21.76
UCOBANK,12.66,12.66
BAGFILMS,11.75,11.75
JSL,21.91,21.81
NSIL,130.02,129.92
WELSPUNLIV,49.91,48.55
JAIBALAJI,32.93,32.93
IGL,17.67,17.67
TVTODAY,68.82,0.93
UNIENTER,36.85,36.85
UPL,25.92,23.70
MUKANDLTD,32.65,32.65
PETRONET,11.49,11.49
PTC,5.42,7.17
VAIBHAVGBL,17.42,17.42
BIOCON,90.20,47.30
MAHABANK,8.45,8.45
POONAWALLA,96.42,96.42
XPROINDIA,193.58,193.58
RKFORGE,44.79,40.85
DATAMATICS,22.07,19.74
CCL,38.45,38.45
EXCELINDUS,15.76,15.76
LT,29.55,28.16
APARINDS,46.24,45.38
AMBICAAGAR,58.14,58.14
CENTEXT,15.51,15.51
NIITLTD,39.80,31.49
ULTRACEMCO,45.17,44.53
TCS,18.69,17.48
COFORGE,32.78,30.17
TEXINFRA,126.43,126.43
GULFPETRO,6.74,6.42
GUFICBIO,61.69,61.69
ASTRAMICRO,64.12,64.12
WELENT,17.39,16.24
NTPC,16.90,16.90
KOTARISUG,42.97,
JBMA,56.52,55.21
DWARKESH,44.43,44.43
SUPRAJIT,41.09,40.78
PATELENG,10.05,5.48
XCHANGING,12.32,12.32
JSWSTEEL,35.84,34.10
CONSOFINVT,11.30,11.30
JINDALPHOT,274.61,274.61
JPPOWER,20.85,20.85
EVEREADY,53.13,
GOKEX,43.49,43.49
SAKSOFT,14.83,14.42
ALLDIGI,17.47,16.65
IIFL,13.81,13.81
WELCORP,16.71,22.05
SSWL,17.76,17.76
CYBERMEDIA,18.32,15.85
SHAHALLOYS,3.16,
SURYALAXMI,20.03,26.78
JKPAPER,23.58,22.86
PRIMESECU,34.32,34.32
GRANULES,29.65,29.76
JSWHL,124.27,122.25
GEOJITFSL,19.39,18.25
GENUSPOWER,17.39,17.39
YESBANK,19.14,19.14
MSPL,,121.43
SPLIL,14.94,14.94
SEMAC,24.10,24.10
GOLDIAM,27.66,27.66
RML,27.44,21.69
HTMEDIA,35.25,7.20
SASKEN,47.37,42.04
IMPAL,14.43,14.07
SUZLON,20.86,20.86
AURIONPRO,24.81,24.11
BASML,10.68,10.68
TRIVENI,29.45,27.88
AIAENG,31.83,31.76
NAHARINDUS,11.16,10.98
ORIENTCER,25.66,23.96
EKC,11.61,11.27
VIMTALABS,28.14,27.71
KERNEX,37.28,37.28
PVRINOX,438.83,135.81
NITINSPIN,13.83,13.83
ROHLTD,29.59,29.59
ENIL,,117.77
GSPL,8.52,8.52
JAGRAN,11.66,11.66
SAKUMA,42.20,42.20
KEC,22.10,20.63
JKCEMENT,41.22,39.90
INDOTECH,20.30,20.30
M&MFIN,18.07,17.28
BLKASHYAP,105.08,2720.51
NITCO,61.42,54.87
CENTURYPLY,67.90,66.39
KEI,51.08,51.08
VAKRANGEE,62.65,63.18
SOLARINDS,88.06,88.02
GALLANTT,39.91,39.91
UTTAMSUGAR,8.55,8.55
SGL,338.80,338.80
KKCL,20.37,20.37
SUNTV,15.03,14.62
GPIL,27.49,27.49
RSYSTEMS,17.17,15.66
EMKAY,34.54,34.54
LOKESHMACH,301.42,301.42
BALPHARMA,14.98,14.98
SWELECTES,17.28,16.77
KAMDHENU,8.19,8.19
RATNAMANI,26.33,25.76
JKLAKSHMI,17.01,16.42
PFOCUS,,80.65
MUNJALAU,13.65,15.27
EMAMILTD,23.21,22.94
TECHM,31.68,30.43
GRINDWELL,44.30,44.30
VOLTAMP,38.90,38.90
ANTELOPUS,30.54,30.54
ACE,25.67,25.67
ANANTRAJ,34.71,34.71
HGM,160.42,160.42
TALBROAUTO,20.94,20.94
ALICON,30.85,29.10
GEECEE,27.20,27.20
JMFINANCIL,10.32,10.18
FIEMIND,24.23,24.51
DCBBANK,8.64,8.64
INSPIRISYS,9.28,8.79
NAUKRI,39.09,39.07
VGL,9.97,9.97
GESHIP,8.84,8.84
TORNTPOWER,23.61,23.61
MANALIPETC,8.42,13.88
LTFOODS,22.46,22.46
DONEAR,12.03,12.03
RUCHIRA,9.51,9.51
SOBHA,98.99,98.99
VENUSREM,18.73,18.73
JINDRILL,8.15,8.15
HIRECT,57.93,56.61
NFL,24.94,24.94
PLASTIBLEN,12.13,12.13
PARACABLES,20.14,20.15
HBLENGINE,23.18,22.61
TANLA,12.94,12.94
AVTNPL,17.77,17.77
