SYMBOL,SYMBOL P/E,ADJUSTED P/E
JUNIPER,33.42,29.40
KRYSTAL,12.28,12.28
VSTL,21.18,21.18
DURLAX,20.03,20.03
ITALIANE,14.53,14.53
SUPREMEPWR,24.69,24.69
KCEIL,7.45,7.45
MAXESTATES,184.94,184.94
CGRAPHICS,17.37,17.37
ACCENTMIC,30.36,30.36
COMSYN,21.81,21.81
ADDICTIVE,16.53,16.53
RETAIL,128.31,128.31
SADHAV,15.88,15.88
MANDEEP,7.51,7.51
WTICAB,9.12,9.12
GOPAL,805.24,142.42
DAVANGERE,62.08,62.08
MAXPOSURE,10.94,10.94
UEL,721.82,721.82
ALPEXSOLAR,23.52,23.49
KRONOX,18.88,18.88
VHLTD,41.86,41.86
SONAMAC,29.68,29.68
SIGNORIA,8.43,8.43
KROSS,24.69,24.69
FALCONTECH,42.93,42.93
TCL,17.38,17.38
ENSER,16.31,16.31
DELAPLEX,7.66,7.66
BOSS,9.28,9.28
RULKA,15.02,15.02
DENTA,11.59,11.59
NAMAN,42.41,42.41
SINCLAIR,29.50,29.50
SHREEKARNI,17.94,17.94
BLUEPEBBLE,28.60,28.60
AIMTRON,57.65,57.65
STALLION,35.86,35.86
PSFL,10.78,10.78
DCG,12.76,12.76
AWFIS,44.05,44.19
DIFFNKG,24.54,24.26
K2INFRA,4.61,4.61
RADIOWALLA,31.96,31.96
RBS,17.20,17.20
ASPIRE,7.75,7.75
ESCONET,26.52,26.52
VRAJ,16.77,16.77
MVKAGRO,408.06,408.06
BALAJEE,17.71,17.71
SANSTAR,80.05,80.05
FILATFASH,45.19,45.19
AVPINFRA,5.98,5.98
SATECH,26.27,26.27
AGARWALTUF,8.26,8.26
SILKFLEX,21.31,21.37
KRN,102.69,103.17
UNIECOM,54.01,54.01
GGBL,15.65,15.65
TAC,49.50,49.50
BANSALWIRE,31.20,30.96
EMMIL,14.70,14.70
DPEL,89.14,89.14
AQYLON,209.45,
INDOUS,14.46,14.46
VILAS,22.92,22.92
GARUDA,15.25,15.25
MASON,19.45,19.45
TRUST,12.96,12.96
YASHOPTICS,36.73,36.73
MIEL,17.56,17.56
SATIPOLY,,1.31
ALUWIND,13.66,13.66
TBI,8.00,8.00
AMBEY,12.43,12.43
SAHAJSOLAR,11.21,11.21
REFRACTORY,13.55,13.55
PRLIND,8.23,8.11
IEML,9.46,9.46
ABSMARINE,9.37,9.37
BEACON,27.66,27.82
AKUMS,26.44,25.87
INNOMET,53.54,53.54
GALAPREC,30.01,29.20
ESPRIT,21.63,21.63
ZTECH,55.54,55.54
PICCADIL,60.92,60.95
VERITAAS,9.72,9.72
TOLINS,11.64,11.64
WINSOL,11.44,11.44
ORIENTTECH,56.30,34.76
MEDIORG,7.47,7.47
HOACFOODS,55.40,55.40
SLONE,16.01,16.01
QUESTLAB,13.86,13.86
GPECO,29.22,29.22
CEIGALL,20.69,20.69
MANBA,13.15,13.15
SPCL,17.34,17.34
POSITRON,6.94,6.94
KATARIA,25.19,25.19
TRANSRAILL,17.53,17.03
STYLEBAAZA,34.13,144.31
INTERARCH,23.71,23.29
PCCL,152.94,152.94
RNFI,37.37,37.37
CRIZAC,27.48,27.48
PNGJL,23.42,23.26
TUNWAL,13.15,13.15
RAJINDLTD,18.37,18.37
GSMFOILS,25.05,25.05
IPHL,8.14,8.14
SFML,7.50,7.56
CHETANA,6.52,6.52
TECHERA,59.16,59.16
VLINFRA,4.63,4.63
SHUBHSHREE,19.76,19.76
ECOSMOBLTY,13.81,13.81
AFCONS,27.57,23.59
ETML,15.16,15.16
AVIANSH,109.01,109.01
SYLVANPLY,14.38,14.38
TROM,13.79,13.79
NEPHROCARE,41.27,41.27
BIKEWO,30.18,30.18
FORCAS,15.25,15.25
NAVKARURB,226.34,226.34
JAYBEE,17.43,17.43
ASHALOG,6.98,6.98
JEYYAM,7.25,7.25
SRD,25.63,25.63
PREMIERENE,33.99,33.99
NMSTEEL,12.54,12.54
DBEIL,9.26,9.26
NAMOEWASTE,40.68,40.68
DECCANTRAN,9.70,9.70
C2C,18.72,18.72
MFML,4.44,6.05
ENVIRO,11.71,11.71
AESTHETIK,17.14,17.14
RPEL,65.36,65.36
WOL3D,16.20,16.20
VIESL,17.39,17.39
EFFWA,20.20,20.20
AVANTEL,250.41,250.41
AGIIL,55.81,55.81
UTSSAV,12.46,12.46
VDEAL,22.62,22.62
SUNLITE,26.10,26.10
SSEGL,19.51,19.51
SAJHOTELS,19.97,20.22
PPSL,8.01,8.01
DHARIWAL,91.64,91.64
NEELAM,8.34,8.34
PRIZOR,42.53,42.53
BOROSCI,64.65,43.18
THESL,5.89,5.89
EUREKAFORB,60.33,51.05
HVAX,19.60,19.60
PRANIK,7.14,7.14
BAJAJHFL,29.93,29.81
RELTD,28.86,24.52
HYUNDAI,25.00,25.00
OSELDEVICE,41.91,41.91
LAKSHYA,7.60,7.60
PHOGLOBAL,9.96,9.96
SAHASRA,405.70,405.70
SANOFICONR,45.08,46.05
AKIKO,18.44,18.44
SDREAMS,17.26,17.26
AERON,11.96,11.96
PELATRO,21.80,21.80
MAMATA,14.78,14.78
DIVYADHAN,582.32,582.32
ATCENERGY,10.46,10.46
FORGEAUTO,8.58,8.58
XTGLOBAL,32.98,32.98
EXCELLENT,43.49,43.49
MYMUDRA,8.04,8.04
SAGILITY,23.59,22.94
ABHAPOWER,10.00,10.00
ACMESOLAR,35.90,34.09
BLACKBUCK,27.54,27.24
NIKITA,14.60,14.60
USHAFIN,11.91,11.91
SATKARTAR,23.29,23.29
RAPPID,21.00,21.00
VMM,69.73,69.73
SAILIFE,62.42,61.25
RAYMONDLSL,91.37,43.09
PREMIUM,9.08,9.08
UHTL,36.15,36.15
BARFLEX,12.89,12.89
DELTIC,8.15,8.15
RAJPUTANA,23.21,23.20
KMEW,79.59,79.59
ORCHASP,18.80,18.80
SURAKSHA,44.99,44.99
OBSCP,39.21,39.21
SETL,34.15,34.15
FRESHARA,14.14,14.14
SENORES,38.23,38.23
OCCLLTD,13.10,12.24
APRAMEYA,18.38,18.38
APEXECO,15.26,15.26
CUDML,20.27,20.27
ANYA,31.81,31.81
ROYALARC,16.69,15.91
DIVINEHIRA,64.82,64.82
ONYX,56.03,56.03
DANISH,21.22,21.22
PURPLEUTED,23.87,23.87
ARIS,25.11,24.88
IKS,39.01,39.01
JSWCEMENT,,54.86
GANESHIN,6.40,6.40
UNIMECH,69.67,69.67
AVL,59.56,58.96
IGIL,28.54,28.54
CARRARO,29.58,27.91
ARUNAYA,8.63,8.63
VINCOFE,31.30,31.30
IDENTICAL,10.11,10.11
TANKUP,104.47,104.47
JAINIK,30.70,30.70
REXPRO,10.29,10.29
INFLUX,54.30,54.30
DAMCAPITAL,13.73,13.73
GUJTHEM,67.53,67.53
SHRIAHIMSA,21.95,21.95
HEXT,21.66,20.56
RVTH,21.89,21.89
VENTIVE,36.74,36.52
ROSSTECH,173.73,167.85
KPEL,14.94,14.94
PSRAJ,28.13,28.13
RNPL,69.43,69.43
KKJEWELS,7.07,7.07
LAXMIDENTL,56.21,32.30
EMAPARTNER,14.59,14.59
QPOWER,51.79,51.68
OSWALPUMPS,12.98,12.93
VOLERCAR,78.15,78.15
READYMIX,8.53,8.53
BLUEWATER,21.55,21.55
ELLEN,42.75,42.75
NTPCGREEN,162.78,162.78
NORTHARC,12.39,12.39
THELEELA,60.80,59.32
PROFX,16.74,16.74
MBEL,27.99,27.63
EEPL,24.75,24.75
IGCL,10.06,10.16
HILINFRA,16.91,16.91
CHAMUNDA,9.12,9.12
AGARWALEYE,88.04,86.94
GLOBECIVIL,12.09,12.09
PROSTARM,28.51,28.51
KEN,7.26,7.26
CHANDAN,22.48,22.48
SHKSIL,18.79,18.79
NEPTUNE,16.93,16.93
SCODATUBES,24.04,24.04
ALLTIME,55.88,49.75
SUNTECH,6.24,6.24
BALAJIPHOS,22.30,22.30
CPPLUS,122.45,122.45
SAMBHV,32.81,32.81
AJAXENGG,25.78,25.50
MMEL,30.22,30.22
PUSHPA,27.50,27.50
BAJAJINDEF,34.74,34.32
DDEVPLSTIK,12.39,12.39
SAWALIYA,71.31,71.31
ELGNZ,12.13,12.13
VGINFOTECH,10.87,10.87
BRIGHOTEL,62.73,62.73
HDBFS,21.03,21.03
MAYASHEEL,15.62,15.62
JUBLCPL,21.47,21.01
MAXVOLT,23.63,23.63
ITCHOTELS,45.14,41.65
BORANA,15.42,15.41
AEGISVOPAK,106.24,106.24
BELRISE,38.76,38.38
GCHOTELS,34.05,34.05
DCCL,7.26,7.26
PROTEAN,25.47,24.68
AARADHYA,20.06,20.06
MOSCHIP,98.91,87.06
SAVY,15.72,15.72
TRAVELFOOD,60.87,60.87
EBGNG,53.71,53.71
SAFEENTP,33.40,33.40
SACHEEROME,57.54,57.55
LAXMIINDIA,19.60,19.60
ONESOURCE,860.33,575.53
TINNARUBR,26.00,25.46
WAAREERTL,26.03,25.83
ETL,41.89,41.89
CEDAAR,3.61,3.61
LOTUSDEV,49.08,49.08
TSC,16.44,16.44
NRVANDANA,20.43,20.43
SMARTEN,19.50,19.50
ANTHEM,101.96,97.58
MONOLITH,114.51,114.51
IWARE,40.32,40.32
PATILAUTOM,49.39,49.39
SHANTIGOLD,12.78,12.78
CONNPLEX,39.82,39.82
RTL,47.67,47.67
CIFL,31.80,
PRIMO,130.11,123.65
SPUNWEB,26.03,26.03
WHITEFORCE,24.88,24.99
BHADORA,37.18,37.18
KAYTEX,12.25,12.25
SELLOWRAP,20.45,20.45
BHARATSE,28.75,28.05
PARTH,72.33,72.33
ENRIN,87.98,85.20
JYOTIGLOBL,25.47,25.47
DIGITIDE,150.87,12.14
FLYSBS,32.76,32.76
BELLACASA,25.65,25.65
CHEMBONDCH,17.87,17.87
RAYMONDREL,20.06,20.06
ACCPL,9.53,9.53
SGFIN,42.55,42.55
FISCHER,69.69,69.69
ABLBL,112.31,84.75
RAJOOENG,25.99,25.99
ARFIN,182.26,182.26
GANGABATH,34.08,34.08
