Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
16-APR-2026,SILVER,248.18,244.83,0.0136,0.0360,0.0359,0.6859
16-APR-2026,SILVER1,24.11,23.89,0.0092,0.0366,0.0366,0.6992
16-APR-2026,SILVER360,244.44,240.67,0.0155,0.0335,0.0335,0.6400
16-APR-2026,SILVERADD,239.79,237.12,0.0112,0.0357,0.0356,0.6801
16-APR-2026,SILVERAG,241.89,238.87,0.0126,0.0363,0.0362,0.6916
16-APR-2026,SILVERBEES,237.97,235.08,0.0122,0.0356,0.0355,0.6782
16-APR-2026,SILVERBETA,240.22,237.50,0.0114,0.0359,0.0358,0.6840
16-APR-2026,SILVERBND,248.63,245.45,0.0129,0.0334,0.0333,0.6362
16-APR-2026,SILVERCASE,25.23,24.97,0.0104,0.0344,0.0343,0.6553
16-APR-2026,SILVERIETF,248.20,245.16,0.0123,0.0346,0.0346,0.6610
16-APR-2026,SILVERTUC,124.68,126.66,-0.0158,0.0293,0.0292,0.5579
16-APR-2026,SIMBHALS,8.85,8.71,0.0159,0.0273,0.0272,0.5197
16-APR-2026,SIMPLEXINF,226.67,226.74,-0.0003,0.0342,0.0341,0.6515
16-APR-2026,SINCLAIR,79.21,78.84,0.0047,0.0255,0.0255,0.4872
16-APR-2026,SINDHUTRAD,22.95,23.18,-0.0100,0.0366,0.0365,0.6973
16-APR-2026,SINGERIND,76.12,76.89,-0.0101,0.0315,0.0314,0.5999
16-APR-2026,SINTERCOM,83.00,83.03,-0.0004,0.0274,0.0274,0.5235
16-APR-2026,SIRCA,439.45,439.05,0.0009,0.0219,0.0219,0.4184
16-APR-2026,SIS,319.60,318.30,0.0041,0.0178,0.0178,0.3401
16-APR-2026,SITAL,74.13,74.13,0.0000,0.0009,0.0009,0.0172
16-APR-2026,SITINET,0.48,0.45,0.0645,0.0595,0.0595,1.1367
16-APR-2026,SIYSIL,541.70,544.05,-0.0043,0.0285,0.0284,0.5426
16-APR-2026,SJS,1695.70,1747.10,-0.0299,0.0258,0.0258,0.4929
16-APR-2026,SJVN,76.34,75.26,0.0142,0.0247,0.0247,0.4719
16-APR-2026,SKFINDIA,1678.30,1656.00,0.0134,0.0138,0.0138,0.2636
16-APR-2026,SKFINDUS,2370.50,2310.20,0.0258,0.0126,0.0127,0.2426
16-APR-2026,SKIPPER,407.30,401.90,0.0133,0.0293,0.0293,0.5598
16-APR-2026,SKJPL,10.00,10.00,0.0000,0.0000,0.0000,0.0000
16-APR-2026,SKMEGGPROD,177.47,176.02,0.0082,0.0313,0.0312,0.5961
16-APR-2026,SKYGOLD,429.70,419.60,0.0238,0.0312,0.0312,0.5961
16-APR-2026,SMALL250,16.21,16.05,0.0099,0.0092,0.0092,0.1758
16-APR-2026,SMALLADD,16.86,16.14,0.0436,0.0100,0.0104,0.1987
16-APR-2026,SMALLCAP,43.11,42.69,0.0098,0.0127,0.0127,0.2426
16-APR-2026,SMARTLINK,125.08,124.33,0.0060,0.0252,0.0251,0.4795
16-APR-2026,SMARTWORKS,422.15,409.85,0.0296,0.0178,0.0178,0.3401
16-APR-2026,SMCGLOBAL,63.79,63.88,-0.0014,0.0298,0.0297,0.5674
16-APR-2026,SML100CASE,9.79,9.70,0.0092,0.0093,0.0093,0.1777
16-APR-2026,SMLMAH,4346.40,4238.90,0.0250,0.0357,0.0357,0.6820
16-APR-2026,SMLT,71.04,70.40,0.0090,0.0334,0.0334,0.6381
16-APR-2026,SMMIL,2.25,2.25,0.0000,0.0000,0.0000,0.0000
16-APR-2026,SMSPHARMA,424.40,438.30,-0.0322,0.0312,0.0312,0.5961
16-APR-2026,SNOWMAN,43.22,43.51,-0.0067,0.0275,0.0274,0.5235
16-APR-2026,SNXT30BEES,41.12,40.86,0.0063,0.0082,0.0082,0.1567
16-APR-2026,SNXT50BETA,90.03,89.32,0.0079,0.0122,0.0122,0.2331
16-APR-2026,SOBHA,1321.20,1320.90,0.0002,0.0246,0.0245,0.4681
16-APR-2026,SOFTTECH,302.51,309.75,-0.0237,0.0308,0.0308,0.5884
16-APR-2026,SOLARA,491.40,492.45,-0.0021,0.0284,0.0283,0.5407
16-APR-2026,SOLARINDS,14990.00,14886.00,0.0070,0.0217,0.0217,0.4146
16-APR-2026,SOLARWORLD,198.54,194.82,0.0189,0.0241,0.0241,0.4604
16-APR-2026,SOLEX,1290.25,1277.50,0.0099,0.0289,0.0288,0.5502
16-APR-2026,SOMANYCERA,439.95,436.65,0.0075,0.0242,0.0241,0.4604
16-APR-2026,SOMATEX,96.25,97.90,-0.0170,0.0366,0.0365,0.6973
16-APR-2026,SOMICONVEY,112.98,112.96,0.0002,0.0369,0.0368,0.7031
16-APR-2026,SONACOMS,580.85,585.70,-0.0083,0.0215,0.0215,0.4108
16-APR-2026,SONAMLTD,53.23,53.55,-0.0060,0.0307,0.0307,0.5865
16-APR-2026,SONATSOFTW,279.27,253.79,0.0957,0.0267,0.0275,0.5254
16-APR-2026,SOTL,364.95,356.20,0.0243,0.0228,0.0228,0.4356
16-APR-2026,SOUTHBANK,38.75,38.71,0.0010,0.0261,0.0261,0.4986
16-APR-2026,SOUTHWEST,247.80,242.57,0.0213,0.0335,0.0335,0.6400
16-APR-2026,SPAL,759.85,768.55,-0.0114,0.0305,0.0304,0.5808
16-APR-2026,SPANDANA,227.37,225.74,0.0072,0.0288,0.0288,0.5502
16-APR-2026,SPANGLE,10.00,10.00,0.0000,0.0000,0.0000,0.0000
